hotel_name,url,locality,reviews,tripadvisor_rating,rank,rank_num,5_excellent,4_excellent,3_very_good,2_poor,1_terrible,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Samay Wasi Youth Hostels Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d1150754-Reviews-Samay_Wasi_Youth_Hostels_Cusco-Cusco_Cusco_Region.html,cusco,393 ,4.5,#24 of 574 Specialty Lodging in Cusco,24,103,63,18,9,2,2018/09/01,2018/09/02,$12,Booking.com,8,"Free Wifi,Breakfast included"
Amaru Hostal,http://www.tripadvisor.com/Hotel_Review-g294314-d501296-Reviews-Amaru_Hostal-Cusco_Cusco_Region.html,cusco,810 ,4.5,#43 of 174 Hotels in Cusco,43,275,158,49,14,12,2018/09/01,2018/09/02,$72,Expedia.com,8,"Free Wifi,Breakfast included"
Hotel Casona les Pleiades,http://www.tripadvisor.com/Hotel_Review-g294314-d638428-Reviews-Hotel_Casona_les_Pleiades-Cusco_Cusco_Region.html,cusco,561 ,4.5,#6 of 421 B&Bs / Inns in Cusco,6,243,92,11,6,4,2018/09/01,2018/09/02,$69,Booking.com,8,"Free Wifi,Breakfast included,Hotel website"
El Mariscal Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d670468-Reviews-El_Mariscal_Cusco-Cusco_Cusco_Region.html,cusco,269 ,4.5,#38 of 174 Hotels in Cusco,38,61,32,7,2,2,2018/09/01,2018/09/02,$55,Booking.com,7,"Free Wifi,Breakfast included,Hotel website"
Hostal El Triunfo,http://www.tripadvisor.com/Hotel_Review-g294314-d582194-Reviews-Hostal_El_Triunfo-Cusco_Cusco_Region.html,cusco,351 ,4.5,#17 of 421 B&Bs / Inns in Cusco,17,60,45,10,2,1,2018/09/01,2018/09/02,$65,Booking.com,8,"Free Wifi,Breakfast included"
Amaru Colonial,http://www.tripadvisor.com/Hotel_Review-g294314-d609838-Reviews-Amaru_Colonial-Cusco_Cusco_Region.html,cusco,308 ,4,#23 of 421 B&Bs / Inns in Cusco,23,72,73,17,7,7,2018/09/01,2018/09/02,$63,Booking.com,7,"Breakfast included,Free Internet"
Hotel Unumizu Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d2102527-Reviews-Hotel_Unumizu_Cusco-Cusco_Cusco_Region.html,cusco,330 ,4.5,#29 of 174 Hotels in Cusco,29,85,47,13,3,2,2018/09/01,2018/09/02,$60,Hotwire.com,7,"Free Wifi,Breakfast included"
Mirador de Santa Ana,http://www.tripadvisor.com/Hotel_Review-g294314-d2140187-Reviews-Mirador_de_Santa_Ana-Cusco_Cusco_Region.html,cusco,226 ,4.5,#54 of 174 Hotels in Cusco,54,46,47,8,1,1,2018/09/01,2018/09/02,$34,Expedia.com,8,"Free Wifi,Breakfast included"
Ninos Hotel Meloc,http://www.tripadvisor.com/Hotel_Review-g294314-d316205-Reviews-Ninos_Hotel_Meloc-Cusco_Cusco_Region.html,cusco,1167 ,4.5,#28 of 174 Hotels in Cusco,28,647,256,57,16,8,2018/09/01,2018/09/02,$55,Booking.com,8,"Free Wifi,Restaurant"
Hostal El Grial,http://www.tripadvisor.com/Hotel_Review-g294314-d319423-Reviews-Hostal_El_Grial-Cusco_Cusco_Region.html,cusco,166 ,4.5,#26 of 574 Specialty Lodging in Cusco,26,60,31,4,3,1,2018/09/01,2018/09/02,$57,Booking.com,5,"Free Wifi,Breakfast included"
Belmond Hotel Monasterio,http://www.tripadvisor.com/Hotel_Review-g294314-d307666-Reviews-Belmond_Hotel_Monasterio-Cusco_Cusco_Region.html,cusco,2560 ,5,#2 of 174 Hotels in Cusco,2,1630,219,53,32,9,2018/09/01,2018/09/02,$375,Expedia.com,10,"Free Wifi,Breakfast included,Hotel website"
Belmond Palacio Nazarenas,http://www.tripadvisor.com/Hotel_Review-g294314-d2568957-Reviews-Belmond_Palacio_Nazarenas-Cusco_Cusco_Region.html,cusco,780 ,5,#1 of 174 Hotels in Cusco,1,510,19,4,0,0,2018/09/01,2018/09/02,$644,Expedia.com,8,"Free Wifi,Breakfast included,Hotel website"
