hotel_name,url,locality,reviews,tripadvisor_rating,rank,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Hotel Taypikala Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d647504-Reviews-Hotel_Taypikala_Cusco-Cusco_Cusco_Region.html,cusco,942 ,4.5,#34 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,10,"Free Wifi,Breakfast included"
Wifala Thematic Hotel Boutique,http://www.tripadvisor.com/Hotel_Review-g294314-d2667845-Reviews-Wifala_Thematic_Hotel_Boutique-Cusco_Cusco_Region.html,cusco,342 ,4.5,#15 of 421 B&Bs / Inns in Cusco,2018/09/01,2018/09/03,,TripAdvisor,9,"Free Wifi,Breakfast included,Hotel website"
El Mariscal Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d670468-Reviews-El_Mariscal_Cusco-Cusco_Cusco_Region.html,cusco,269 ,4.5,#38 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,7,"Free Wifi,Breakfast included,Hotel website"
Casa Andina Standard Cusco Plaza,http://www.tripadvisor.com/Hotel_Review-g294314-d455220-Reviews-Casa_Andina_Standard_Cusco_Plaza-Cusco_Cusco_Region.html,cusco,1201 ,4.5,#39 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,10,"Breakfast included,Free Internet"
Hotel Arqueologo Exclusive Selection,http://www.tripadvisor.com/Hotel_Review-g294314-d318575-Reviews-Hotel_Arqueologo_Exclusive_Selection-Cusco_Cusco_Region.html,cusco,575 ,4.5,#40 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,9,"Free Wifi,Breakfast included"
Hostal El Triunfo,http://www.tripadvisor.com/Hotel_Review-g294314-d582194-Reviews-Hostal_El_Triunfo-Cusco_Cusco_Region.html,cusco,351 ,4.5,#17 of 421 B&Bs / Inns in Cusco,2018/09/01,2018/09/03,,TripAdvisor,9,"Free Wifi,Breakfast included"
Amaru Hostal,http://www.tripadvisor.com/Hotel_Review-g294314-d501296-Reviews-Amaru_Hostal-Cusco_Cusco_Region.html,cusco,810 ,4.5,#43 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,8,"Free Wifi,Breakfast included"
Cusco B&B,http://www.tripadvisor.com/Hotel_Review-g294314-d6839998-Reviews-Cusco_B_B-Cusco_Cusco_Region.html,cusco,132 ,4.5,#19 of 421 B&Bs / Inns in Cusco,2018/09/01,2018/09/03,,TripAdvisor,9,"Free Wifi,Breakfast included"
Los Andes De America Hotel,http://www.tripadvisor.com/Hotel_Review-g294314-d299481-Reviews-Los_Andes_De_America_Hotel-Cusco_Cusco_Region.html,cusco,502 ,4.5,#44 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,8,"Free Wifi,Breakfast included"
Atiq Hotel Boutique,http://www.tripadvisor.com/Hotel_Review-g294314-d6908527-Reviews-Atiq_Hotel_Boutique-Cusco_Cusco_Region.html,cusco,98 ,4.5,#56 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,10,"Free Wifi,Breakfast included"
